Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Block Name (block_name),Block Code (block_code),Gram Panchayat Name (gp_name),Gram Panchayat Code (gp_code),No. of Villages Where Survey  completed (villages_surveyed),Total Population (tot_pop),Male Population (pop_male),Female Population (pop_female),Total Household (tot_hh),Availability of banks (bank),Banks at a distance less than1 km (bank_dist_l1km),Banks at a distance upto 2 km (bank_dist_2km),Banks at a distance upto 5 km (bank_dist_5km),Banks at a distance upto 10 km (bank_dist_10km),Banks at a distance greater than 10 km (bank_dist_g10_km),Internet-Enabled Business Correspondent (bc_w_internet),ATM Available (atm),Broadband Internet Available (internet_bb),Connected by All-Weather Road (all_weather_road),Fully Covered Pucca Roads (cc_road_full),Partially Covered Pucca Roads (cc_road_partial),No Pucca Road Coverage (cc_road_not),Bus Transport Available (pub_trans_bus),Van Transport Available (pub_trans_van),Auto Transport Available (pub_trans_auto),No Public Transport (pub_trans_no),Railway Station Available (railway),Common Service Centre in Panchayat Bhawan (csc_panchayat),Separate Common Service Centre (csc_seperate),No Common Service Centre Available (csc_not),Domestic Electricity <1 Hr (elec_domes_1hrs),Domestic Electricity 1–4 Hrs (elec_domes_4hrs),Domestic Electricity 4–8 Hrs (elec_domes_8hrs),Domestic Electricity 8–12 Hrs (elec_domes_12hrs),No Domestic Electricity (elec_domes_no),Electricity for MSMEs (elec_msme),PDS Available (pds),Mandi Available (mandi),Regular Market Available (reg_mkt),Weekly Haat Available (weekly_haat),No Market Available (mkt_na),Tap Water Coverage 100% (tap_100),Tap Water Coverage 50–100% (tap_50),Tap Water Coverage <50% (tap_l50),Tap Water Coverage Single Habitation (tap_one_hab),No Tap Water Coverage (tap_na),Landline Service Available (tel_ll),Mobile Service Available (tel_mob),Landline & Mobile Available (tel_both),No Telephone Service (tel_na),Households Using Clean Energy (clean_energy_hhs),Solar/Wind Electrified Households (solar_wind_elect),Kutcha Wall & Roof Households (kuccha_hhs),Post Office/Sub-Post Office Available (po_sub_po),Panchayat Bhawan Available (panch_bhawan),No Public Information Board (pib_na),Updated Public Information Board (pib_av_upd),Non-Updated Public Information Board (pib_av_not_upd),Primary School Available (prim_school),Middle School Available (middle_school),High School Available (high_school),Higher Secondary School Available (high_second_school),Degree College Available (degree_clg),No School/College Available (school_college_na),Public Library Available (public_library),Indoor Playground (indoor_sports),Outdoor Playground (outdoor_sports),Indoor & Outdoor Sports Facility (both_sports),No Sports Facility (no_sports),Vocational/ITI/RSETI/DDU-GKY Centre (vocational),CHC Available (chc),PHC Available (phc),Sub-Centre Available (subcentre),No Health Centre Available (no_health),Sub-Centre <1 km (subcentre_l1km),Sub-Centre 1–2 km (subcentre_2km),Sub-Centre 2–5 km (subcentre_5km),Sub-Centre 5–10 km (subcentre_10km),Sub-Centre >10 km (subcentre_g10km),Veterinary Clinic Available (veterinary),Veterinary Clinic <1 km (veterinary_l1km),Veterinary Clinic 1–2 km (veterinary_2km),Veterinary Clinic 2–5 km (veterinary_5km),Veterinary Clinic 5–10 km (veterinary_10km),Veterinary Clinic >10 km (veterinary_g10km),Closed Drainage Available (closed_drain),Pucca Drain with Slab Cover (pucca_slab_drain),Open Pucca Drain (pucca_uncovered_drain),Open Kutcha Drain (kuchha_drain),No drainage facility (no_drain),Common pastures (pcomm_pasture)
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Bahirwadi","167565",1,1052,547,505,258,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,15,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Bari","167566",1,1105,582,523,240,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,180,0,110,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Belapur","167567",1,3370,1694,1676,764,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,350,0,140,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Bhandardara","167568",1,1335,667,668,393,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,390,0,186,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Bholewadi","167569",1,670,350,320,180,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,75,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Bori","167570",1,1074,541,533,287,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,155,0,62,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Bramhanwada","167571",1,4732,2413,2319,947,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,110,0,215,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Chaitanyapur","167577",1,999,500,499,239,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,150,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Chandgirwadi","167572",1,1385,697,688,235,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,158,0,111,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Chas","167573",2,2306,1154,1152,491,1,0,0,1,0,0,1,0,1,2,0,1,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,404,0,315,1,1,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Chichondi","167574",1,1663,831,832,385,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,225,0,310,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Chinchawane","167575",1,1352,716,636,270,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,120,0,78,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Chitalwedhe","167576",1,1049,528,521,225,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,180,0,54,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Devgaon","167578",1,1160,640,520,280,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,280,0,12,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Devthan","167579",1,9449,5125,4324,1750,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1610,0,940,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Dhamangaon Awari","167580",1,4077,2227,1850,1046,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,900,0,700,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Dhamangaonpat","167581",1,2932,1474,1458,733,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,314,0,298,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Dhamanwan","167582",1,1326,670,656,265,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,200,0,220,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Dhokari","167583",2,2910,1335,1575,675,0,0,0,1,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,425,0,27,2,1,1,1,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Dhumalwadi","167584",1,4258,2164,2094,921,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,500,0,275,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Digambar","167585",1,1114,568,546,157,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,65,0,97,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Dongargaon","167586",1,3049,1551,1498,637,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,485,0,150,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ekdare","167587",1,687,335,352,175,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,82,0,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ganore","167588",1,4580,2349,2231,1231,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,840,0,230,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Gardani","167589",3,4417,2342,2075,1128,0,0,2,1,0,0,0,0,0,1,0,0,3,0,0,0,3,0,2,0,1,0,0,3,0,0,2,0,0,0,0,3,0,1,0,0,2,0,0,0,3,228,0,151,1,1,3,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,1,0,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,3,2
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ghatghar","167590",1,1176,588,588,197,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,150,1,110,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ghodsarwadi","167591",1,1500,800,700,250,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,200,0,100,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ghoti","167592",1,884,430,454,175,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,132,0,22,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Gondoshi","167593",3,2396,1337,1059,937,0,0,0,0,2,1,0,0,0,1,0,0,3,0,0,0,3,0,0,1,2,0,1,0,0,2,1,0,0,0,0,3,0,0,1,0,2,0,0,0,3,339,0,240,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,3,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Guhire","167594",2,942,467,475,183,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,170,0,52,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Hiwargaon","167595",1,2757,1385,1372,557,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,400,0,300,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Indori","167596",1,2054,1022,1032,448,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,420,0,110,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Jachakwadi","167597",1,1098,553,545,255,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,155,0,80,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Jahagirdarwadi","167598",1,1600,920,680,279,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,45,0,150,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Jambhale","167599",2,1100,550,550,227,1,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,1,2,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,1,80,0,74,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Jamgaon","167600",1,759,392,367,174,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,85,0,84,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Jayanawadi","167601",2,646,310,336,145,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,2,0,2,0,0,110,0,45,0,2,0,2,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Kalamb","167602",1,1210,580,630,285,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,200,0,60,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Kalas Budruk","167603",2,5518,2845,2673,1043,1,0,0,1,0,0,1,1,1,1,0,1,1,2,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,154,0,186,1,1,1,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0
