Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Total Population (tot_pop),Male Population (pop_male),Female Population (pop_female),Total Households (tot_hh),Bank (bank),Nearest Bank Distance (bank_distance),Business Correspondent with Internet (bc_w_internet),ATM (atm),Internet / Broadband Facility (internet_bb),Connected To All Weather Road (all_weather_road),Internal Pucca Roads (Cc/ Brick Road) (cc_road),Public Transport (pub_trans),Railway Station (railway),Common Service Centre (csc_avail),Domestic Electricity (elec_domes),Electricity Supply to MSME units (elec_msme),Public Distribution System (pds),Markets (avl_market),Piped Tap Water (tap_water),Telephone Services (telepone),HHs using Clean Energy(LPG/Biogas) (clean_energy_hhs),Solar / Wind Energy For Electrification (solar_wind_elect),HHs with Kuccha Wall and Kuccha Roof (kuccha_hhs),Post Office / Sub-Post Office (po_sub_po),Panchayat Bhawan (panch_bhawan),Public Information Board (pib),Primary School (prim_school),Middle School (middle_school),High School (high_school),Higher / Secondary School (high_second_school),Degree College (degree_clg),Public Library (public_library),Recreational Centre / Sports Playground (rec_sports),Vocational Educational Centre (vocational),Sub Centre (subcentre),Nearest Sub Centre (subcentre_dist),Veterinary Clinic Hospital (veterinary),Nearest Veterinary Clinic (veterinary_dist),Drainage Facilities (drainage),Common Pastures (pcomm_pasture)
"2020","27","Maharashtra","491","Raigad","4529","Mangaon","186959","Kumbhe","554578","Kelgan",193,87,106,177,false,">10 kms",false,"No",false,true,"Not covered","Bus",false,"No",">12 hrs",false,false,"No","50 to 100% habitations covered","No",45,false,6,false,true,"Available and updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","491","Raigad","4529","Mangaon","186959","Kumbhe","554580","Manjurne",82,31,51,62,false,">10 kms",false,"No",false,false,"Not covered","Bus",false,"No",">12 hrs",false,false,"No","100% habitations covered","No",20,false,9,false,false,"Available and updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","498","Wardha","4609","Samudrapur","193076","Waigaon(H)","534622","Muradpur",209,111,98,56,false,"1-2 kms",false,"No",false,false,"Partially covered","No",false,"No","8-12 Hrs",false,false,"No","Not Covered","Mobile",0,false,2,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","1-2 kms",false,"1-2 kms","No",false
"2020","27","Maharashtra","665","Palghar","4598","Talasari","192549","Udhava","551573","Gandhinagar",2592,1278,1314,495,false,"2-5 kms",false,"No",true,true,"Not covered","Bus",false,"No",">12 hrs",false,true,"No","Not Covered","Mobile",357,false,255,false,false,"Not Available",true,true,false,false,false,false,"Indoor",false,"No","2-5 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","491","Raigad","4529","Mangaon","186959","Kumbhe","554600","Jor",210,100,110,133,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,false,"No","50 to 100% habitations covered","No",18,false,14,false,false,"Available and updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192038","Urse Gr.","551704","Urse",1270,600,670,900,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","4-8 Hrs",true,false,"No","<50% habitation covered","Mobile",150,false,25,true,true,"Not Available",true,true,true,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","497","Thane","4597","Shahapur","192485","Manekhind","552808","Ashte",500,270,230,70,false,"5-10 kms",true,"No",false,false,"Not covered","Bus",false,"No",">12 hrs",false,false,"No","100% habitations covered","Mobile",70,false,20,false,false,"Not Available",true,false,false,false,false,false,"Both",false,"No","5-10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","497","Thane","4597","Shahapur","192485","Manekhind","552809","Manekhind",1200,700,500,170,false,"5-10 kms",false,"No",false,false,"Not covered","Bus",false,"No",">12 hrs",true,false,"No","50 to 100% habitations covered","Mobile",20,false,25,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","497","Thane","4597","Shahapur","192453","Dahivali","552909","Dahivali",1423,735,688,267,false,"5-10 kms",false,"No",false,true,"Fully covered","Auto",false,"No",">12 hrs",true,true,"No","<50% habitation covered","Mobile",115,false,2,false,true,"Not Available",true,true,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192038","Urse Gr.","551705","Mhasad",688,392,296,105,false,">10 kms",false,"No",false,false,"Not covered","Auto",false,"No","4-8 Hrs",true,false,"No","Not Covered","Mobile",2,false,100,false,true,"Not Available",true,true,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","665","Palghar","4596","Palghar","192337","Kamare","552259","Kamare",1500,730,770,350,false,"2-5 kms",false,"No",false,true,"Not covered","Bus",false,"No","8-12 Hrs",true,false,"No","Not Covered","Mobile",0,false,150,false,false,"Not Available",true,false,false,false,false,false,"Outdoor",false,"No","2-5 kms",false,"2-5 kms","No",true
"2020","27","Maharashtra","497","Thane","4590","Bhiwandi","191953","Shirole","552581","Mahap",442,210,232,85,false,">10 kms",false,"No",false,false,"Not covered","Auto",false,"No",">12 hrs",false,true,"No","100% habitations covered","Mobile",70,false,28,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","497","Thane","4590","Bhiwandi","191953","Shirole","552582","Shirole",727,327,400,158,false,"2-5 kms",false,"No",false,false,"Not covered","Auto",false,"No","8-12 Hrs",true,true,"No","Not Covered","Both",42,false,41,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","497","Thane","4590","Bhiwandi","191897","Kelhe","552574","Kelhe",658,333,325,150,false,"1-2 kms",false,"No",false,false,"Not covered","Auto",false,"No","8-12 Hrs",false,false,"No","100% habitations covered","Mobile",60,false,10,false,false,"Not Available",true,false,false,false,false,false,"Both",false,"No","5-10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","665","Palghar","4596","Palghar","192337","Kamare","552263","Tokarale",175,85,90,50,false,"2-5 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","Not Covered","Mobile",0,false,20,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","497","Thane","4589","Ambernath","191825","Dahivali","553060","Savaroli",320,173,147,69,false,"2-5 kms",false,"No",false,false,"Not covered","Auto",false,"No",">12 hrs",false,false,"No","100% habitations covered","Mobile",20,false,0,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4476","Navapur","182388","Umaran","525894","Umarvihir",150,80,70,50,false,"5-10 kms",false,"No",false,false,"Not covered","Auto",false,"No",">12 hrs",false,false,"No","50 to 100% habitations covered","No",20,false,25,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182100","Bhagarpani","525051","Jamali (Ka)",1517,765,752,306,false,">10 kms",false,"No",false,true,"Not covered","Van",false,"No","4-8 Hrs",true,true,"No","Not Covered","No",10,false,85,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182100","Bhagarpani","525151","Ziri Sawar",2,1,1,1,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","No",false,false,"No","Not Covered","No",0,false,1,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525021","Mokas",2640,1330,1310,467,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",23,false,99,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,"1-2 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525022","Pandhramati",2029,1017,1012,301,false,">10 kms",false,"No",false,true,"Not covered","Van",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",95,false,104,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525024","Wadfali (R)",1948,1054,894,288,false,">10 kms",false,"No",false,true,"Not covered","Van",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",9,false,111,true,false,"Not Available",true,true,true,false,false,false,"No",true,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525025","Movan",898,425,473,183,false,">10 kms",false,"No",false,true,"Not covered","Van",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",3,false,97,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525026","Bagda",2548,1304,1244,442,false,">10 kms",false,"No",false,true,"Not covered","Van",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",46,false,119,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525027","Morhi",490,280,210,94,false,"5-10 kms",false,"No",false,true,"Not covered","Van",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",5,false,45,false,false,"Available but not updated",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,"5-10 kms","No",true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525064","Umaragavhan",1216,561,655,241,false,">10 kms",false,"No",false,true,"Not covered","Bus",false,"No",">12 hrs",false,true,"No","Not Covered","No",0,false,139,false,true,"Not Available",true,false,false,false,false,false,"No",false,"Sub Centre","Not applicable",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525065","Orpa",832,426,406,162,false,">10 kms",false,"No",false,true,"Not covered","Bus",false,"No","8-12 Hrs",false,true,"No","Not Covered","Mobile",0,false,99,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525066","Nendwan Kh",523,247,276,99,false,">10 kms",false,"No",false,true,"Not covered","No",false,"No","8-12 Hrs",false,true,"No","Not Covered","Mobile",0,false,85,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525067","Nendwan Bk",287,135,152,56,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","4-8 Hrs",false,true,"No","Not Covered","No",0,false,47,false,false,"Not Available",true,false,false,false,false,false,"Both",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525068","Khurchimal",305,149,156,54,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,true,"No","Not Covered","No",0,false,52,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525069","Mal",738,365,373,124,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,true,"No","Not Covered","No",0,true,102,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182104","Denal","525007","Danel",2095,965,1130,345,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","No",true,true,"No","Not Covered","No",0,false,90,false,true,"Not Available",true,false,false,false,false,false,"No",false,"Sub Centre","Not applicable",false,">10 kms","No",true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182104","Denal","525008","Mukhadi",594,311,283,87,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","No",false,true,"No","Not Covered","No",0,false,53,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182104","Denal","525032","Mandawa",1445,797,648,170,false,">10 kms",false,"No",false,true,"Not covered","Van",false,"No","No",false,true,"No","Not Covered","No",0,false,50,false,false,"Not Available",true,false,false,false,false,false,"No",false,"PHC","Not applicable",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","276169","Mandara","525127","Mandara",1161,551,610,239,false,">10 kms",false,"No",false,true,"Not covered","No",false,"No",">12 hrs",false,true,"No","Not Covered","Mobile",25,false,108,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","1-2 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182124","Moramba","525098","Bharadipadar",968,507,461,185,false,">10 kms",false,"No",false,true,"Not covered","No",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",8,false,98,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182124","Moramba","525099","Darasarapadar",343,187,156,85,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,true,"No","Not Covered","Mobile",8,false,55,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,"2-5 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182154","Katri","525284","Paula",1050,531,519,198,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","4-8 Hrs",false,false,"No","Not Covered","No",119,false,8,false,true,"Not Available",true,false,false,false,false,false,"Both",false,"PHC","Not applicable",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182154","Katri","525294","Makadkund",1473,737,736,202,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","4-8 Hrs",true,false,"No","Not Covered","No",190,false,33,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182151","Genda","525224","Nimkhedi",536,270,266,105,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","<50% habitation covered","No",18,false,50,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182151","Genda","525280","Mal",660,335,325,230,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","<50% habitation covered","No",45,false,160,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182151","Genda","525300","Shelda",1170,581,589,185,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","Not Covered","No",18,false,120,false,false,"Available but not updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182151","Genda","525301","Junana",46,23,23,10,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,false,"No","Not Covered","No",0,false,0,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182151","Genda","525305","Genda",1448,718,730,241,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","<50% habitation covered","No",45,false,130,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182151","Genda","525306","Khutwada",1280,649,631,235,false,">10 kms",false,"No",false,true,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","Not Covered","No",40,false,80,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182162","Roshmal K","525195","Surung",49,27,22,11,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,false,"No","Not Covered","No",0,false,10,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182162","Roshmal K","525292","Domkhedi",563,278,285,117,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","1-4 hrs",true,true,"No","Not Covered","No",14,false,19,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182162","Roshmal K","525293","Shelgada",400,199,201,71,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,false,"No","Not Covered","No",0,false,65,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186677","Mule","554074","Mule",813,407,406,240,false,"5-10 kms",false,"No",false,true,"Not covered","Auto",false,"No",">12 hrs",false,false,"No","<50% habitation covered","No",225,false,8,false,true,"Available but not updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","491","Raigad","4539","Uran","187458","Veshvi","553313","Kauli Belodakhar",7,4,3,2,false,"2-5 kms",false,"No",false,false,"Not covered","Bus",false,"No",">12 hrs",false,false,"No","Not Covered","No",0,false,2,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No","< 1 km",false,"< 1 km","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182162","Roshmal K","525295","Goradi",462,250,212,111,false,">10 kms",false,"No",false,true,"Not covered","No",false,"No","1-4 hrs",false,true,"No","Not Covered","No",15,false,35,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182145","Bhusha","525338","Lekhada",420,208,212,70,false,">10 kms",false,"No",false,false,"Fully covered","Van",false,"No","No",false,false,"No","100% habitations covered","No",14,false,30,false,false,"Not Available",true,false,false,false,false,false,"Both",false,"No",">10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176189","Aamdari","545744","Amdari",689,357,332,126,false,">10 kms",false,"No",false,false,"Not covered","Auto",false,"No","4-8 Hrs",false,false,"No","Not Covered","Mobile",0,false,1,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","Open Kuccha Drainage",false
"2020","27","Maharashtra","481","Latur","4435","Jalkot","179587","Wadgaon","560415","Wadgaon",652,339,313,139,false,"5-10 kms",true,"No",false,false,"Partially covered","Auto",false,"No",">12 hrs",false,false,"No","<50% habitation covered","Mobile",42,false,28,false,true,"Not Available",true,false,false,false,false,true,"No",false,"No",">10 kms",false,">10 kms","No",false
