Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Banks (banks),ATM (atm),All-Weather Road Connectivity (all_weather_road_connectivity),Internal Pucca Roads (internal_pucca_roads),Public Transport Availability (public_transport),Common Service Centre (common_service_centre),Domestic Electricity Supply (Hours) (domestic_electricity_hrs),Public Distribution System (PDS) (pds),Market Facilities (market_facilities),Piped Tap Water Coverage (piped_tap_water),Telephone Services (telephone_services),Post Office/Sub-Post Office (post_office_subpost_office),Primary School (primary_school),Middle School (middle_school),High School (high_school),Higher Secondary School (higher_secondary_school),Vocational Education Centre (ITI/RSETI/DDU-GKY) (vocational_centre_iti_rseti_ddu_gky),Veterinary Hospital/Clinic (veterinary_hospital_clinic),Drainage Facilities (drainage_facilities),Soil Testing Centre (soil_testing_centre),Government Seed Centre (govt_seed_centre),Fertilizer Shop (fertilizer_shop),Community Waste Disposal System (community_waste_disposal),Community Biogas/Waste Recycling Facility (community_biogas_waste_recycling),Anganwadi Centre (aanganwadi_centre)
"2020","27","Maharashtra","499","Washim","4617","Washim","193632","Chikhali (Bk)","531181","Zakalwadi",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","Both",false,true,false,false,false,true,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","261582","Khadkya","525212","Khadkya",false,false,false,"Not covered","Bus","No","4-8 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","468","Amravati","4308","Morshi","169997","Yavli","532231","Ghoddeo Bk.",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","468","Amravati","4298","Achalpur","169432","Narayanpur","531909","Chikhali",false,false,false,"Partially covered","No","No","8-12 Hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","499","Washim","4617","Washim","193650","Jabharun(Nawaji)","531154","Jambharun Dharmaji",false,false,false,"Not covered","No","No","1-4 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","472","Buldhana","4351","Sindkhedraja","173297","Garkhed","529476","Shirner",false,false,false,"Not covered","Van","No","No",false,"No","<50% habitation covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","468","Amravati","4306","Dhamangaon Ril","169868","Devgaon","533365","Daulatabad",false,false,false,"Not covered","No","No",">12 hrs",false,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","468","Amravati","4311","Warud","170209","Sawangi","532408","Kekatwada",false,false,false,"Not covered","No","No","No",false,"Weekly Haat","<50% habitation covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182105","Debramal","525029","Dhebramal",false,false,true,"Not covered","Van","No","1-4 hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","182162","Roshmal K","525197","Chitkhedi",false,false,false,"Not covered","No","No","4-8 Hrs",false,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182105","Debramal","525030","Sambar",false,false,true,"Not covered","Van","No","4-8 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","261618","Walamba R","525088","Odhi",false,false,true,"Not covered","Van","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,true,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182139","Umaragavhan","525059","Chivalutar",false,false,false,"Not covered","No","No",">12 hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","276175","Wadibar","525058","Urmalamal",false,false,false,"Not covered","No","No",">12 hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182111","Jamana","525057","Gadwani",false,false,false,"Not covered","No","No",">12 hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525026","Bagda",false,false,true,"Not covered","Van","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,true,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182128","Pipalkhuta","525028","Vehgi",false,false,false,"Not covered","Van","No","8-12 Hrs",true,"No","Not Covered","No",false,true,true,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4376","Dhanora","174910","Chavela","538989","Malanda",false,false,false,"Not covered","Bus","No","8-12 Hrs",true,"No","Not Covered","Mobile",false,true,true,false,false,false,false,"No",false,false,false,false,true,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525027","Morhi",false,false,true,"Not covered","Van","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182142","Wadvfali","525025","Movan",false,false,true,"Not covered","Van","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182133","Sinduri","525005","Sinduri",false,false,true,"Not covered","Van","No","1-4 hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182133","Sinduri","525004","Chimalkhadi",false,false,true,"Not covered","Van","No","No",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4371","Aheri","174728","Dechali S.","539983","Sinda M",false,false,true,"Not covered","Van","No","4-8 Hrs",false,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174977","Geda","539631","Ekansur (S)",false,false,false,"Not covered","No","No",">12 hrs",false,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174977","Geda","539630","Geda",false,false,false,"Not covered","Bus","No",">12 hrs",true,"Weekly Haat","Not Covered","Both",true,true,true,true,true,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174976","Gatta","539616","Besewada",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","476","Gondia","4388","Sadak Arjuni","175585","Rajguda","538173","Nishani (Rithi)",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","476","Gondia","4388","Sadak Arjuni","264994","Shriramnagar Saundad","538172","Zankar Gondi",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","476","Gondia","4388","Sadak Arjuni","175554","Ghategaon","538080","Thadezari",false,false,false,"Not covered","No","No",">12 hrs",false,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182121","Manibeli","525003","Dhankhedi",false,false,false,"Not covered","Van","No","No",false,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","486","Nandurbar","4473","Akkalkuwa","182121","Manibeli","525002","Manibeli",false,false,false,"Not covered","Van","No","No",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4378","Gadchiroli","175038","Navargaon","539103","Kondhana",false,false,false,"Partially covered","No","No","8-12 Hrs",false,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","475","Gadchiroli","4376","Dhanora","174910","Chavela","538991","Kandali",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4376","Dhanora","174910","Chavela","538990","Chavela",false,false,true,"Not covered","Bus","No",">12 hrs",true,"No","Not Covered","Mobile",false,true,true,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","475","Gadchiroli","4371","Aheri","174728","Dechali S.","539984","Mukhanpalli",false,false,true,"Not covered","No","No","1-4 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193214","Yesamba","534133","Tanapur",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","665","Palghar","4596","Palghar","192427","Vada Khadkona","552332","Asheri",false,false,false,"Not covered","Auto","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","473","Chandrapur","4365","Sindewahi","174087","Wasera","909033","Antragoan Urf",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","473","Chandrapur","4356","Chimur","173578","Kalamgaon","909008","Tekadi",false,false,false,"Not covered","No","No",">12 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","494","Satara","4566","Patan","189841","Bhosgaon","564401","Retharekarwadi",false,false,false,"Fully covered","Bus","No","No",false,"No","100% habitations covered","Both",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","473","Chandrapur","4356","Chimur","237144","Lawari Bothali","909006","Chak Dogargoan",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","494","Satara","4564","Mahabaleshwar","189142","Shindi","564035","Met Shindi",false,false,false,"Not covered","No","No","1-4 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186703","Varande","554171","Surai",false,false,false,"Not covered","No","No",">12 hrs",false,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","492","Ratnagiri","4546","Rajapur","188053","Sagave","566066","Shirse (Sagave)",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,true,false,false,false,false
"2020","27","Maharashtra","495","Sindhudurg","4570","Deogad","190516","Talavade","566289","Bagatalavade",false,false,true,"Partially covered","Bus","No",">12 hrs",false,"No","Not Covered","Both",false,true,true,false,false,false,false,"No",false,false,true,false,true,true
"2020","27","Maharashtra","492","Ratnagiri","4546","Rajapur","187984","Ansure","566065","Dandewadi",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4547","Ratnagiri","188155","Saitavade","565483","Marathwada",true,false,false,"Not covered","No","No","8-12 Hrs",false,"No","100% habitations covered","Both",true,true,true,true,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4540","Chipalun","187548","Omali","565285","Pawarwadi",false,false,true,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","494","Satara","4566","Patan","190032","Tarale","564216","Katewadi",false,false,true,"Partially covered","Bus","No","8-12 Hrs",false,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4547","Ratnagiri","188155","Saitavade","565484","Saitavade",true,false,true,"Not covered","Bus","No","8-12 Hrs",false,"No","100% habitations covered","Both",true,true,true,true,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","494","Satara","4559","Jawali","189103","Mhasve","564023","Mhasve",false,true,true,"Not covered","Auto","No",">12 hrs",true,"No","100% habitations covered","No",true,true,false,false,false,false,false,"No",false,false,false,false,true,true
"2020","27","Maharashtra","494","Satara","4566","Patan","189998","Pathavade","564231","Pathavade",false,false,false,"Not covered","No","No","4-8 Hrs",false,"No","100% habitations covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,true,false
"2020","27","Maharashtra","492","Ratnagiri","4543","Khed","187806","Khopi","565136","Khopi Tambadwadi",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","100% habitations covered","Both",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","488","Osmanabad","4499","Paranda","184372","Kandari","561070","Kandari",false,false,false,"Not covered","Bus","No","8-12 Hrs",false,"No","Not Covered","Mobile",true,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4547","Ratnagiri","188158","Satkondi","565482","Satkondi",false,false,true,"Fully covered","Bus","No",">12 hrs",false,"No","100% habitations covered","Both",false,true,false,false,false,false,false,"No",false,false,false,true,false,true
"2020","27","Maharashtra","492","Ratnagiri","4543","Khed","187786","Furus","564990","Furus",true,true,true,"Partially covered","Bus","No",">12 hrs",true,"No","100% habitations covered","Both",true,true,true,true,true,false,true,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4540","Chipalun","187548","Omali","565286","Ombali",false,false,true,"Not covered","Bus","No",">12 hrs",true,"No","Not Covered","Mobile",true,true,true,true,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","466","Ahmednagar","4289","Shrigonda","168724","Adhalgaon","558465","Dokewadi",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","Both",false,true,false,false,false,false,false,"No",false,false,false,true,false,true
"2020","27","Maharashtra","492","Ratnagiri","4545","Mandangad","187935","Chinchaghar","564725","Sheware",false,false,false,"Not covered","Auto","No","No",false,"No","100% habitations covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","481","Latur","4440","Udgir","179991","Shelhal","561024","Shelhal",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","<50% habitation covered","No",false,true,true,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","492","Ratnagiri","4541","Dapoli","187595","Asond","564953","Asond",false,false,true,"Not covered","Bus","No",">12 hrs",false,"No","100% habitations covered","No",true,true,false,false,false,false,false,"No",false,false,false,false,true,true
"2020","27","Maharashtra","494","Satara","4559","Jawali","189053","Ghoteghar","564000","Ghoteghar",false,false,false,"Partially covered","Bus","No",">12 hrs",false,"No","100% habitations covered","No",false,true,true,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4545","Mandangad","187945","Kondgaon","564688","Kondgaon",false,false,true,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","No",false,true,true,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","494","Satara","4559","Jawali","189097","Mhate - Bk.","563988","Mhate Bk",false,false,true,"Not covered","No","No",">12 hrs",false,"No","100% habitations covered","No",true,true,true,true,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","492","Ratnagiri","4545","Mandangad","187945","Kondgaon","564687","Dandnagari",false,false,true,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","No",false,true,false,false,false,false,false,"Closed Drainage",false,false,false,false,false,true
"2020","27","Maharashtra","494","Satara","4559","Jawali","189094","Mamurdi","563987","Mamurdi",false,false,false,"Not covered","No","No",">12 hrs",false,"No","100% habitations covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","494","Satara","4566","Patan","189963","Matrewadi","564400","Matrewadi",false,false,true,"Partially covered","Bus","No",">12 hrs",true,"No","100% habitations covered","Both",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","494","Satara","4569","Wai","190371","Baleghar","563077","Baleghar",false,false,true,"Not covered","Bus","No","No",false,"No","50 to 100% habitations covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","496","Solapur","4588","South Solapur","191753","Dindur","562722","Dindur",false,false,false,"Not covered","Auto","No","4-8 Hrs",false,"No","100% habitations covered","Mobile",false,true,true,true,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","496","Solapur","4584","Mohol","191615","Wirwad Kh","562256","Wirwade Kh",false,false,false,"Not covered","Auto","Separately located",">12 hrs",false,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","466","Ahmednagar","4284","Pathardi","168351","Sonosi","558012","Sonoshi",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,true,false,false,true
"2020","27","Maharashtra","494","Satara","4564","Mahabaleshwar","189693","Chikhali","562968","Malusar",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","665","Palghar","4592","Jawhar","192076","Kogada","551890","Vp-Kogada",false,false,false,"Not covered","Bus","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","466","Ahmednagar","4282","Nevasa","168055","Ghodegaon","557712","Mhasale",false,false,true,"Not covered","No","No","8-12 Hrs",true,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4531","Murud","187058","Nandagaon","554243","Adhi (Pangole)",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","488","Osmanabad","4498","Osmanabad","184345","Yeoti","561406","Yeoti",false,false,true,"Not covered","Bus","No","8-12 Hrs",true,"No","<50% habitation covered","Mobile",true,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","665","Palghar","4603","Wada","192695","Varale","552075","Kiravali",false,false,true,"Not covered","Auto","No",">12 hrs",true,"No","Not Covered","Mobile",true,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","479","Jalna","4416","Jalna","178025","Wakhari","547572","Wakhari",true,false,true,"Not covered","Auto","No","8-12 Hrs",true,"No","Not Covered","Mobile",false,true,true,true,true,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","496","Solapur","4584","Mohol","191590","Pophali","562255","Pophali",false,false,false,"Partially covered","No","No","8-12 Hrs",false,"No","<50% habitation covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,true,false
"2020","27","Maharashtra","496","Solapur","4584","Mohol","191582","Nandgaon","562254","Nandgaon",false,false,false,"Partially covered","No","No","8-12 Hrs",false,"No","Not Covered","Both",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","479","Jalna","4416","Jalna","177916","Bajiumrad","547573","Baji Umrad Tanda",false,false,false,"Not covered","No","No",">12 hrs",true,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","665","Palghar","4592","Jawhar","192068","Hiradpada","551889","Alyachimet",false,false,true,"Not covered","Bus","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","481","Latur","4437","Nilanga","179771","Nelwad","560881","Nelwad",false,false,false,"Partially covered","Auto","No","1-4 hrs",true,"No","<50% habitation covered","No",true,true,true,true,false,false,false,"No",false,false,true,false,false,true
"2020","27","Maharashtra","488","Osmanabad","4494","Bhoom","184015","Sawargaon (P)","561200","Samangaon",false,false,false,"Not covered","Bus","No",">12 hrs",true,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","470","Beed","4330","Shirur ( Ka )","171884","Jatnandur","559053","Chahurwadi",false,false,false,"Not covered","No","No","4-8 Hrs",false,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","488","Osmanabad","4494","Bhoom","184025","Walha","561177","Sawargaon",false,false,false,"Not covered","Bus","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186703","Varande","554175","Varande",false,false,true,"Fully covered","Van","Separately located",">12 hrs",false,"No","Not Covered","Both",false,true,true,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4534","Poladpur","187227","Deole","555186","Deole",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","Not Covered","Mobile",true,true,false,true,false,false,false,"Open Kuccha Drainage",false,false,false,false,false,true
"2020","27","Maharashtra","481","Latur","4437","Nilanga","179755","Korali","560880","Korali",false,false,false,"Not covered","No","No",">12 hrs",false,"Weekly Haat","Not Covered","Mobile",false,true,true,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","479","Jalna","4416","Jalna","177979","Nidhona","547526","Nidhona",false,false,true,"Not covered","Auto","No","8-12 Hrs",true,"No","Not Covered","No",false,true,false,false,false,false,true,"No",true,true,true,true,false,true
"2020","27","Maharashtra","466","Ahmednagar","4289","Shrigonda","168806","Yelapane","558422","Poliswadi",false,false,false,"Not covered","No","No","8-12 Hrs",false,"No","Not Covered","Mobile",false,true,false,false,false,false,false,"No",false,true,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186703","Varande","554174","Deoghar",false,false,true,"Fully covered","Van","No",">12 hrs",false,"No","Not Covered","Both",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186672","Kusumbale","554135","Hemnagar",false,false,false,"Partially covered","Bus","No","No",false,"No","100% habitations covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186677","Mule","554074","Mule",false,false,true,"Not covered","Auto","No",">12 hrs",false,"No","<50% habitation covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186681","Parhur","554048","Palambe",false,false,false,"Not covered","No","No","No",false,"No","only one habitation is covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","491","Raigad","4525","Alibag","186681","Parhur","554014","Jambhulpada",false,false,false,"Not covered","Van","No","No",false,"No","<50% habitation covered","Mobile",false,true,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4533","Pen","187207","Sonkhar","553877","Urnilee (N.V.)",false,false,false,"Fully covered","Bus","No",">12 hrs",true,"No","100% habitations covered","No",false,true,false,false,false,false,false,"No",false,false,false,false,true,true
"2020","27","Maharashtra","491","Raigad","4533","Pen","187188","Koleti","553978","Khar Koleti",false,false,false,"Not covered","Bus","No",">12 hrs",false,"No","<50% habitation covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","491","Raigad","4533","Pen","187207","Sonkhar","553876","Sonkhar",false,false,false,"Not covered","Bus","No",">12 hrs",true,"No","100% habitations covered","Mobile",true,true,true,true,false,false,false,"No",false,false,false,false,false,true
